stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_lat,stop_lon
4694102,,Von-Schonebeck-Ring A,,,,,4694101P,,,51.998742,7.552395
4695001,,Hermann-Hesse-Str. A,,,,,4695001P,,,51.995473,7.553374
4695002,,Hermann-Hesse-Str. B,,,,,4695001P,,,51.995434,7.553157
4696101,,Stefan-Zweig-Str.,,,,,4696101P,,,51.991509,7.553371
4696102,,Stefan-Zweig-Str.,,,,,4696101P,,,51.991356,7.551876
4697001,,Isolde-Kurz-Str. A,,,,,4697001P,,,51.993334,7.548274
4697002,,Isolde-Kurz-Str. B,,,,,4697001P,,,51.993417,7.548432
4698101,,Haus Rüschhaus,,,,,4698101P,,,51.98336,7.549965
4698102,,Haus Rüschhaus,,,,,4698101P,,,51.983207,7.549912
4699101,,Autobahn Nord,,,,,4699101P,,,51.977788,7.557321
4699102,,Autobahn Nord,,,,,4699101P,,,51.977872,7.556852
4704101,,Zum Roten Berge,,,,,4704101P,,,51.899422,7.640512
4704102,,Zum Roten Berge,,,,,4704101P,,,51.898872,7.641197
4705101,,Blomenkamp,,,,,4705101P,,,51.926332,7.527656
4705102,,Blomenkamp,,,,,4705101P,,,51.926285,7.527512
4706101,,Dülmener Str.,,,,,4706101P,,,51.924954,7.523863
4706102,,Dülmener Str.,,,,,4706101P,,,51.924813,7.523329
4706501,,Rottkamp,,,,,4706501P,,,51.925056,7.519076
4706502,,Rottkamp,,,,,4706501P,,,51.925021,7.519848
4707101,,Albachten Kirche,,,,,4707102P,,,51.924704,7.527549
4707102,,Albachten Kirche,,,,,4707102P,,,51.924422,7.52798
4712101,,Wolbecker Windmühle,,,,,4712102P,,,51.929195,7.72119
4712102,,Wolbecker Windmühle,,,,,4712102P,,,51.929261,7.721435
4718101,,Am Tiergarten,,,,,4718101P,,,51.917243,7.742212
4718102,,Am Tiergarten,,,,,4718101P,,,51.917333,7.742253
4719101,,Im Bilskamp,,,,,4719102P,,,51.917646,7.737084
4719102,,Im Bilskamp,,,,,4719102P,,,51.917785,7.738258
4720102,,Kurhaus,,,,,4720102P,,,51.917009,7.734661
4722101,,Ringstraße,,,,,4722101P,,,51.906089,7.661526
4722102,,Ringstraße,,,,,4722101P,,,51.905834,7.661999
4722802,,Hiltrup Bahnhof,,,,,4722802P,,,51.905047,7.65374
4723101,,Glasuritstr. A,,,,,4723101P,,,51.904819,7.650332
4723102,,Glasuritstr. B,,,,,4723101P,,,51.905095,7.650832
4723103,,Glasuritstr. C,,,,,4723101P,,,51.905617,7.650875
4723104,,Glasuritstr. D,,,,,4723101P,,,51.905672,7.651004
4723106,,Glasuritstr. E,,,,,4723101P,,,51.904456,7.651578
4724101,,Marktallee,,,,,4724101P,,,51.904144,7.644743
4724102,,Marktallee,,,,,4724101P,,,51.904391,7.645869
4725101,,Hiltrup Schulzentr./Stadthalle,,,,,4725101P,,,51.903071,7.639777
4725102,,Hiltrup Schulzentr./Stadthalle,,,,,4725101P,,,51.903105,7.639616
4726101,,An der Alten Kirche,,,,,4726102P,,,51.905112,7.635908
4726102,,An der Alten Kirche,,,,,4726102P,,,51.905274,7.635991
4727101,,Herz-Jesu-Krankenhaus A,,,,,4727101P,,,51.909577,7.632678
4727102,,Herz-Jesu-Krankenhaus B,,,,,4727101P,,,51.909249,7.633007
4728101,,Westfalenstr.,,,,,4728102P,,,51.917059,7.632174
4728102,,Westfalenstr.,,,,,4728102P,,,51.917374,7.632296
4728501,,Merkureck,,,,,4728502P,,,51.914063,7.632745
4728502,,Merkureck,,,,,4728502P,,,51.914183,7.633003
4729101,,Vennheideweg,,,,,4729102P,,,51.921261,7.631102
4729102,,Vennheideweg,,,,,4729102P,,,51.921114,7.631542
4731101,,Sültemeyer,,,,,4731102P,,,51.917235,7.728114
4731102,,Sültemeyer,,,,,4731102P,,,51.917841,7.728445
4732101,,Wolbeck Markt B,,,,,4732101P,,,51.915267,7.724797
4732102,,Wolbeck Markt A,,,,,4732101P,,,51.915997,7.724966
4732103,,Wolbeck Markt C,,,,,4732101P,,,51.915742,7.726324
4733101,,Am Berler Kamp,,,,,4733102P,,,51.915745,7.72083
4733102,,Am Berler Kamp,,,,,4733102P,,,51.915878,7.720681
4734101,,Twenhövenweg,,,,,4734102P,,,51.918172,7.706023
4734102,,Twenhövenweg,,,,,4734102P,,,51.918284,7.706427
4735101,,Haus Angelmodde,,,,,4735102P,,,51.919718,7.702795
4735102,,Haus Angelmodde,,,,,4735102P,,,51.919988,7.702802
4736101,,Angelmodde Kirche,,,,,4736102P,,,51.921727,7.700789
4736102,,Angelmodde Kirche,,,,,4736102P,,,51.92216,7.700908
4737101,,Am Hohen Ufer,,,,,4737102P,,,51.926849,7.691686
4737102,,Am Hohen Ufer,,,,,4737102P,,,51.92732,7.691193
4738101,,Wolbeck Ehrenmal,,,,,4738102P,,,51.920134,7.728526
4738102,,Wolbeck Ehrenmal,,,,,4738102P,,,51.919982,7.728661
4738501,,Zur Walbeke,,,,,4738501P,,,51.920915,7.735961
4738701,,Nikolausweg,,,,,4738702P,,,51.921262,7.731474
4738702,,Nikolausweg,,,,,4738702P,,,51.921325,7.731487
4739101,,Middelerstraße,,,,,4739101P,,,51.925598,7.728503
4739102,,Middelerstraße,,,,,4739101P,,,51.925704,7.728354
4739201,,Hiltruper Str.,,,,,4739202P,,,51.911849,7.719619
4739202,,Hiltruper Str.,,,,,4739202P,,,51.911281,7.716161
4739701,,Holtrode,,,,,4739701P,,,51.92335,7.731706
4739702,,Holtrode,,,,,4739701P,,,51.923433,7.731122
4740101,,Böddingheideweg,,,,,4740102P,,,51.932101,7.68153
4740102,,Böddingheideweg,,,,,4740102P,,,51.932218,7.681527
4740501,,Delstrup,,,,,4740501P,,,51.934538,7.67999
4741201,,Zeisigweg,,,,,4741201P,,,51.930549,7.685021
4741202,,Zeisigweg,,,,,4741201P,,,51.930533,7.685182
4742101,,Im Dahl,,,,,4742102P,,,51.91316,7.636231
4742102,,Im Dahl,,,,,4742102P,,,51.913654,7.636216
4743101,,An der Christuskirche,,,,,4743102P,,,51.907327,7.64953
4743102,,An der Christuskirche,,,,,4743102P,,,51.907569,7.649465
4744101,,Von-Flotow-Str.,,,,,4744102P,,,51.90829,7.646493
4744102,,Von-Flotow-Str.,,,,,4744102P,,,51.908351,7.646331
4745101,,Max-Reger-Str.,,,,,4745102P,,,51.907533,7.643202
4745102,,Max-Reger-Str.,,,,,4745102P,,,51.907635,7.642734
4746101,,Wolbeck Schulzentrum,,,,,4746101P,,,51.916151,7.717694
4746102,,Wolbeck Schulzentrum,,,,,4746101P,,,51.916007,7.717596
4747001,,Wolbeck Nogatstr.,,,,,4747001P,,,51.910858,7.716115
4747002,,Wolbeck Nogatstr.,,,,,4747001P,,,51.910513,7.716634
