route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
82,2,2_100112_19_82_1,Hiltrup Franz-Marc-Weg,,,,82_810_1,,
82,2,2_100112_20_82_1,Rudolf-Diesel-Straße,,,,82_811_1,,
82,2,2_100112_21_82_1,Hiltrup Franz-Marc-Weg,,,,82_810_1,,
110,2,2_100113_2_110_13,Roxel,,,,110_12_1,,
11,2,2_100113_4_11_13,Tannenhof,,,,11_6_1,,
11,2,2_100113_5_11_13,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,2,2_100113_6_11_13,Tannenhof,,,,11_6_1,,
11,2,2_100113_7_11_13,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,2,2_100113_8_11_13,Tannenhof,,,,11_6_1,,
11,2,2_100113_9_11_13,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,2,2_100113_10_11_13,Tannenhof,,,,11_6_1,,
11,2,2_100113_11_11_13,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,2,2_100113_12_11_13,Tannenhof,,,,11_6_1,,
11,2,2_100113_13_11_13,Gievenbeck Dieckmannstr.,,,,11_3_1,,
108,2,2_100114_2_108_3,Hauptbahnhof,,,,108_108_1,,
12,2,2_100115_2_12_1,Hauptbahnhof,,,,12_2_1,,
6,2,2_100116_2_6_16,Coerde,,,,6_5_1,,
7,2,2_100117_2_7_7,Hauptbahnhof,,,,7_5_1,,
14,2,2_100117_4_14_7,08-Stadion,,,,14_22_1,,
8,2,2_100119_2_8_10,Wolbeck Nogatstraße,,,,8_106_1,,
8,2,2_100119_3_8_10,Coerde,,,,8_103_1,,
8,2,2_100119_5_8_10,Wolbeck Nogatstraße,,,,8_106_1,,
8,2,2_100119_6_8_10,Coerde,,,,8_103_1,,
8,2,2_100119_8_8_10,Wolbeck Nogatstraße,,,,8_106_1,,
8,2,2_100119_9_8_10,Coerde,,,,8_103_1,,
8,2,2_100119_11_8_10,Wolbeck Nogatstraße,,,,8_106_1,,
8,2,2_100119_12_8_10,Coerde,,,,8_103_1,,
8,2,2_100119_14_8_10,Wolbeck Nogatstraße,,,,8_106_1,,
8,2,2_100119_15_8_10,Coerde,,,,8_103_1,,
8,2,2_100119_17_8_10,Wolbeck Nogatstraße,,,,8_106_1,,
85,2,2_100119_19_85_10,Nienberge,,,,85_11_1,,
6,2,2_100120_4_6_6,Coerde,,,,6_307_1,,
6,2,2_100120_6_6_6,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100120_7_6_6,Coerde,,,,6_307_1,,
6,2,2_100120_9_6_6,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100120_10_6_6,Coerde,,,,6_307_1,,
6,2,2_100120_12_6_6,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100120_13_6_6,Coerde,,,,6_307_1,,
6,2,2_100120_15_6_6,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100120_16_6_6,Coerde,,,,6_307_1,,
108,2,2_100121_2_108_30,Friedensschule,,,,108_402_1,,
110,2,2_100122_4_110_33,Gymnasium St. Mauritz,,,,110_16_1,,
14,2,2_100123_2_14_4,Zoo/LWL-Naturkundemuseum,,,,14_3_1,,
14,2,2_100123_3_14_4,Mauritz Friedhof,,,,14_4_1,,
14,2,2_100123_5_14_4,Zoo/LWL-Naturkundemuseum,,,,14_3_1,,
14,2,2_100123_6_14_4,Mauritz Friedhof,,,,14_4_1,,
14,2,2_100123_8_14_4,Zoo/LWL-Naturkundemuseum,,,,14_3_1,,
14,2,2_100123_9_14_4,Mauritz Friedhof,,,,14_4_1,,
14,2,2_100123_11_14_4,Zoo/LWL-Naturkundemuseum,,,,14_3_1,,
14,2,2_100123_12_14_4,Mauritz Friedhof,,,,14_4_1,,
14,2,2_100123_14_14_4,Zoo/LWL-Naturkundemuseum,,,,14_3_1,,
14,2,2_100123_15_14_4,Mauritz Friedhof,,,,14_4_1,,
14,2,2_100123_17_14_4,Zoo/LWL-Naturkundemuseum,,,,14_3_1,,
14,2,2_100123_18_14_4,Mauritz Friedhof,,,,14_4_1,,
14,2,2_100123_20_14_4,Zoo/LWL-Naturkundemuseum,,,,14_3_1,,
14,2,2_100123_21_14_4,Mauritz Friedhof,,,,14_4_1,,
112,2,2_100124_2_112_31,Gymnasium St. Mauritz,,,,112_303_1,,
408,2,2_100125_2_408_3,Gremmendorf Ehrenmal,,,,408_2_5,,
6,2,2_100126_2_6_9,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100126_3_6_9,Coerde,,,,6_307_1,,
6,2,2_100126_5_6_9,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100126_6_6_9,Coerde,,,,6_307_1,,
6,2,2_100126_8_6_9,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100126_9_6_9,Coerde,,,,6_307_1,,
6,2,2_100126_11_6_9,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100126_12_6_9,Coerde,,,,6_307_1,,
6,2,2_100126_14_6_9,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100126_15_6_9,Coerde,,,,6_307_1,,
11,2,2_100127_2_11_8,Hauptbahnhof,,,,11_12_1,,
6,2,2_100128_2_6_14,Hauptbahnhof,,,,6_3_1,,
106,2,2_100129_2_106_30,Wolbeck Schulzentrum,,,,106_4_1,,
8,2,2_100130_2_8_11,Wolbeck Schulzentrum,,,,8_4_1,,
464,2,2_100132_2_464_1,Burg Hülshoff,,,,464_1_5,,
464,2,2_100132_3_464_1,Roxel Hallenbad,,,,464_2_5,,
464,2,2_100132_4_464_1,Burg Hülshoff,,,,464_1_5,,
464,2,2_100132_5_464_1,Roxel Hallenbad,,,,464_2_5,,
464,2,2_100132_6_464_1,Burg Hülshoff,,,,464_1_5,,
464,2,2_100132_7_464_1,Roxel Hallenbad,,,,464_2_5,,
464,2,2_100132_8_464_1,Burg Hülshoff,,,,464_1_5,,
464,2,2_100132_9_464_1,Roxel Hallenbad,,,,464_2_5,,
19,2,2_100133_2_19_3,Waldfriedhof Lauheide,,,,19_6_1,,
19,2,2_100133_3_19_3,Sprakel,,,,19_5_1,,
19,2,2_100133_5_19_3,Waldfriedhof Lauheide,,,,19_6_1,,
19,2,2_100133_6_19_3,Sprakel,,,,19_5_1,,
19,2,2_100133_8_19_3,Waldfriedhof Lauheide,,,,19_6_1,,
19,2,2_100133_9_19_3,Sprakel,,,,19_5_1,,
19,2,2_100133_11_19_3,Waldfriedhof Lauheide,,,,19_6_1,,
19,2,2_100133_13_19_3,Sprakel,,,,19_3_1,,
19,2,2_100133_15_19_3,Handorf Kaserne,,,,19_4_1,,
106,2,2_100134_3_106_6,Heumannsweg,,,,106_3_1,,
104,2,2_100134_7_104_6,Hauptbahnhof,,,,104_2_1,,
464,2,2_100135_2_464_2,Burg Hülshoff,,,,464_1_5,,
464,2,2_100135_3_464_2,Roxel Hallenbad,,,,464_2_5,,
464,2,2_100135_4_464_2,Burg Hülshoff,,,,464_1_5,,
464,2,2_100135_5_464_2,Roxel Hallenbad,,,,464_2_5,,
464,2,2_100135_6_464_2,Burg Hülshoff,,,,464_1_5,,
464,2,2_100135_7_464_2,Roxel Hallenbad,,,,464_2_5,,
110,2,2_100140_4_110_2,Roxel,,,,110_14_1,,
8,2,2_100150_2_8_1,Hauptbahnhof,,,,8_1_1,,
8,2,2_100150_4_8_1,Wolbeck Nogatstraße,,,,8_112_1,,
106,2,2_100151_2_106_5,Hauptbahnhof,,,,106_1_1,,
4,2,2_100152_2_4_9,Gelmer,,,,4_7_1,,
4,2,2_100152_3_4_9,Clemenshospital,,,,4_2_1,,
117,2,2_100156_2_117_1,Hauptbahnhof,,,,117_1_1,,
106,2,2_100157_2_106_1,Hauptbahnhof,,,,106_1_1,,
106,2,2_100157_4_106_1,Hauptbahnhof,,,,106_1_1,,
